product_id,content,sentiment,sentiment_label
1000049359710,가성비 좋게 구매하여 잘 먹습니다,2,2
1000049359710,간단하게 해먹기 좋고 맛도 괜찮아요,2,2
1000049359710,자주 구매하는거에요 좋아요,2,2
1000049359710,간편하게 해먹기 좋아요ㅎ,2,2
1000049359710,가성비가 아주 좋습니다.,0,0
1000049359710,생각보다 양도 많고 맛있었어요.,0,0
1000049359710,늘 사는제품이예요~~~,2,2
1000049359710,좋아요~~,2,2
1000049359710,순두부가부드럽고 남편이엄청잘먹고좋아하네요,2,2
1000049359710,피코크 순두부 찌개 밀키트,2,2
1000049359710,가격저렴하고 만족함,2,2
1000049359710,순두부와 내용물을 적당한 비율로 그릇에 담아요 칼칼한 찌개 먹고싶을때 간편하게 해서 먹을 수 있어서 좋아요~~,2,2
1000049359710,역시 쓱배송 최고에요,2,2
1000049359710,편리하게 한끼 해결 했습니다.,0,0
1000049359710,떨어지지 많게 쟁여두는 음식입니다 맛있어요,2,2
1000049359710,생각보다 야채가 금방 ㅠ,2,2
1000049359710,"맛있습니다 ~!
다음에도 시켜먹을께요 ^^",0,0
1000049359710,싸게 잘 구매했습니다 ㅎ 많이 파세요,2,2
1000049359710,한끼로 괜찮아요 굿,2,2
1000049359710,국물 칼칼하고 맛있어요,2,2
1000049359710,좋아요 늘구매하는 상품입니다 또 구매할께요,2,2
1000049359710,"간편해서 좋네요.
야채가 좀더 싱싱하면 좋겠네요.",0,0
1000049359710,맛있어용 맛나용크크크,2,2
1000049359710,한끼 해 먹기 좋네요,2,2
1000049359710,"신선하네요.
좋은 가격으로 잘 샀어요!",0,0
1000049359710,뭔가 맛이 약간 허전한 아쉬움,2,2
1000049359710,간편하게 한끼 식사로 굿,2,2
1000049359710,맛있게 잘 먹었어요 편리하고 좋네요,2,2
1000049359710,배송 빠르구 믿을수 있어서 좋아요~,2,2
1000049359710,재료가 다 있어 간단히 만들 수 있으니 좋네요. 맛도 괜찮아요.,0,0
1000049359710,간편하고 맛나고 최고,2,2
1000049359710,저렴하게 잘 먹었습니다.,0,0
1000049359710,간편허게 한ㄲ? 있어요,1,1
1000049359710,잘받았습니다 감사합니다,2,2
1000049359710,잘 받았습니다.  많이 파시고 번창 하십시오.,1,1
1000049359710,"순두부, 채소( 파, 양파, 고추), 달갈 한개, 양념. 팽이버섯이 전부 입니다. 흠. 포장을 좀 더 줄이면 더 좋을것 같아요",2,2
1000049359710,순하고 맛있어요!!!,1,1
1000049359710,밀키트 순두부중에 젤 자주 사는 제품같아요,2,2
